V_TRI_FORM_R_EZ.ACCURACY_SCORE,V_TRI_FORM_R_EZ.ACTIVE_DATE,V_TRI_FORM_R_EZ.ACTIVE_STATUS,V_TRI_FORM_R_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_EZ.CHEM_NAME,V_TRI_FORM_R_EZ.CHEM_PROCESSING_AID,V_TRI_FORM_R_EZ.CITY_NAME,V_TRI_FORM_R_EZ.DISP_LANDFILL_SURF_IMP,V_TRI_FORM_R_EZ.DISP_LAND_TREATMENT,V_TRI_FORM_R_EZ.DISP_OTHER_LAND_DISP,V_TRI_FORM_R_EZ.EST_ANNUAL_REDUCT_2,V_TRI_FORM_R_EZ.FACILITY_NAME,V_TRI_FORM_R_EZ.FAC_CLOSED_IND,V_TRI_FORM_R_EZ.GENERIC_CHEM_NAME,V_TRI_FORM_R_EZ.IMPORTED,V_TRI_FORM_R_EZ.LANDF_8795_RELEASE_NA,V_TRI_FORM_R_EZ.LANDF_8795_RELEASE_RANGE_CODE,V_TRI_FORM_R_EZ.LANDF_8795_TOT_REL,V_TRI_FORM_R_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_EZ.LAND_TREA_BASIS_EST_CODE,V_TRI_FORM_R_EZ.LAND_TREA_RELEASE_RANGE_CODE,V_TRI_FORM_R_EZ.LAND_TREA_TOT_REL,LATITUDE,LONGITUDE,V_TRI_FORM_R_EZ.OFF_SITE_CITY_1,V_TRI_FORM_R_EZ.OFF_SITE_CITY_3,V_TRI_FORM_R_EZ.OFF_SITE_CITY_4,V_TRI_FORM_R_EZ.ONS_WASTESTREAM_CODE_9,V_TRI_FORM_R_EZ.OTH_DISP_TOT_REL,V_TRI_FORM_R_EZ.OTH_LANDF_BASIS_EST_CODE,V_TRI_FORM_R_EZ.OTH_LANDF_RELEASE_NA,V_TRI_FORM_R_EZ.SOURCE,V_TRI_FORM_R_EZ.TRI_CHEM_ID,V_TRI_FORM_R_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_EZ.WATER_TOTAL_RELEASE
30,1987,1,0,Cadmium,0,COATESVILLE,0,0,0,,NATHAN TROTTER & CO INC,0,NA,0,,,0,0,,,0,39.97611,-75.88771,,,,,0,,,Reported,7440439,1932WSTWRT241ST,0
30,1987,1,25,Lead,0,PULASKI,0,0,0,R6,YOUNG GALVANIZING INC,0,NA,0,,,0,0,,,0,41.11778,-80.42841,VICKERY,,,,0,,1,Reported,7439921,16143YNGGLPOBOX,0
50,1987,1,10,Tetrachloroethylene,0,BATH,0,0,0,,KEYSTONE CEMENT CO,0,NA,0,,,0,0,,,0,40.7159,-75.3985,MIDDLESEX,FLANDERS,,,0,,1,Reported,127184,18014KYSTNRT329,0
8,1987,1,3780,Sulfuric acid (acid aerosols including mists  vapors  gas  fog  and other airborne forms of any particle size),0,CHESTER,0,0,0,,EVONIK CORP,0,NA,0,,,0,0,,,0,39.837605,-75.37294,,,,,0,,1,Reported,7664939,19013NRTHM1200W,0
50,1987,1,1,Chromium Compounds(Except Chromite Ore Mined In The Transvaal Region),0,YORK,141779,0,0,,ENVIRITE OF PENNSYLVANIA INC,0,NA,0,,,0,0,,,0,39.986769,-76.748829,MAULDIN,SHIPPENSBURG,,,0,,1,Reported,N090,17404NVRTF730VO,0
50,1987,1,0,Antimony,0,LANCASTER,0,0,0,,STRYTEN LAMPETER LLC,0,NA,0,,,0,0,,,0,39.993868,-76.243157,MUNCIE,,,,0,,1,Reported,7440360,17537XDCRP829PA,0
35900,1987,1,12851,Phenol,0,WYSOX,0,0,0,,JELD-WEN INC FIBER DIV - PA,0,NA,0,,,0,61,M2,,61,41.76242,-76.42046,,,,A,0,C ,0,Reported,108952,18848MSNTCMASON,5
100,1987,1,6991,Copper,0,PITTSBURGH,2649,0,0,,MATTHEWS INTERNATIONAL CORP,0,NA,0,,,0,1,,,0,40.411101,-80.011407,CANTON,MEDINA,IMPERIAL,,1,,1,Reported,7440508,15226MTTHW1315W,1
100,1987,1,46,Chromium compounds (except for chromite ore mined in the Transvaal Region),0,COLVER,0,38195,0,,COLVER GREEN ENERGY,0,NA,0,,,0,0,,,0,40.5504,-78.7989,COLVER,INDIANA,INDIANA,,0,,1,Reported,N090,15927CLVRP141IN,0
30,1987,1,0,Copper,0,ALLENTOWN,0,0,0,,ACME CRYOGENICS INC,0,NA,0,,,0,0,,,0,40.56107,-75.4808,LEWISBERRY,PHILDELPHIA,,,0,,1,Reported,7440508,18103RPRDC2801M,0
30,1987,1,0,Zinc compounds,0,ERIE,0,0,0,,GREAT LAKES METAL FINISHING INC,0,NA,0,,,0,0,,,0,42.10981,-80.10155,CANTON,,,,0,,1,Reported,N982,1650WGRTLK1113W,0
18550,1987,1,0,Lead  And Lead Compounds,0,EMIGSVILLE,16,0,0,,ABERDEEN ROAD CO,0,NA,0,,,0,0,,,0,40.015787,-76.726143,YORK,,,,0,,1,Reported,N420,17310HRCLTABERD,0
25,1987,1,17123.52,Styrene,0,MONACA,1083.4,0,0,,BVPV STYRENICS LLC,0,NA,0,,,0,0,,,0,40.655278,-80.356389,EAST LIVERPOOL,,,,0,,1,Reported,100425,15061RCCHMFRANK,2.03
30,1987,1,0,Lead  And Lead Compounds,0,ELLWOOD CITY,0,0,0,,ELLWOOD CITY FORGE CORP,0,NA,0,,,0,0,,,0,40.86043,-80.29096,GREENVILLE,NEW CASTLE,YOUNGSTOWN,,0,,1,Reported,N420,16117LLWDCCOMME,0
50,1987,1,250.29,1 2 4-Trimethylbenzene,0,BATH,0,0,0,,KEYSTONE CEMENT CO,0,NA,0,,,0,0,,,0,40.7159,-75.3985,WEST CHESTER,CATLETTSBURG,MIDDLESEX,,0,,1,Reported,95636,18014KYSTNRT329,0
99999999,2000,1,0,Dioxin and dioxin-like compounds,0,PALMERTON,0,0,0,,AMERICAN ZINC RECYCLING CORP,0,NA,0,,,0,0,,,0,40.808331,-75.583339,,,,,0,,1,Reported,N150,18071HRSHDDELAW,0
